Business Name,Address,City,Zip,Phone,Website,Category,Industry,Source,Slug
Franklin Barbecue,"900 E 11th St, Austin, TX 78702",Austin,78702,(512) 653-1187,,BBQ,restaurant,manual_database,franklin-barbecue
Torchy's Tacos,"Multiple Locations, Austin, TX",Austin,78704,(512) 366-0537,,Mexican Food,restaurant,manual_database,torchy-s-tacos
Uchi,"801 S Lamar Blvd, Austin, TX 78704",Austin,78704,(512) 916-4808,,Sushi,restaurant,manual_database,uchi
Matt's El Rancho,"2613 S Lamar Blvd, Austin, TX 78704",Austin,78704,(512) 462-9333,,Mexican Food,restaurant,manual_database,matt-s-el-rancho
Hopdoddy Burger Bar,"Multiple Locations, Austin, TX",Austin,78701,(512) 243-7505,,Burgers,restaurant,manual_database,hopdoddy-burger-bar
Kerbey Lane Cafe,"Multiple Locations, Austin, TX",Austin,78704,(512) 451-1436,,American Diner,restaurant,manual_database,kerbey-lane-cafe
La Barbecue,"2027 E Cesar Chavez St, Austin, TX 78702",Austin,78702,(512) 605-9696,,BBQ,restaurant,manual_database,la-barbecue
Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704",Austin,78704,(512) 444-7437,,Pizza,restaurant,manual_database,home-slice-pizza
Chuy's,"1728 Barton Springs Rd, Austin, TX 78704",Austin,78704,(512) 474-4452,,Mexican Food,restaurant,manual_database,chuy-s
Polvos Mexican Restaurant,"2004 S 1st St, Austin, TX 78704",Austin,78704,(512) 441-5446,,Mexican Food,restaurant,manual_database,polvos-mexican-restaurant
The Salt Lick BBQ,"18300 FM 1826, Driftwood, TX 78619",Driftwood,78619,(512) 858-4959,,BBQ,restaurant,manual_database,the-salt-lick-bbq
Terry Black's Barbecue,"1003 Barton Springs Rd, Austin, TX 78704",Austin,78704,(512) 394-5899,,BBQ,restaurant,manual_database,terry-black-s-barbecue
Loro,"2115 S Lamar Blvd, Austin, TX 78704",Austin,78704,(512) 916-4100,,Asian BBQ,restaurant,manual_database,loro
Odd Duck,"1201 S Lamar Blvd, Austin, TX 78704",Austin,78704,(512) 433-6521,,American Contemporary,restaurant,manual_database,odd-duck
Magnolia Cafe,"Multiple Locations, Austin, TX",Austin,78701,(512) 445-0000,,American Diner,restaurant,manual_database,magnolia-cafe
Jo's Coffee,"1300 S Congress Ave, Austin, TX 78704",Austin,78704,(512) 444-3800,,Coffee Shop,cafe,manual_database,jo-s-coffee
Houndstooth Coffee,"Multiple Locations, Austin, TX",Austin,78702,(512) 394-5776,,Coffee Shop,cafe,manual_database,houndstooth-coffee
Caffé Medici,"Multiple Locations, Austin, TX",Austin,78705,(512) 474-5730,,Coffee Shop,cafe,manual_database,caff-medici
Cosmic Coffee + Beer Garden,"121 Pickle Rd, Austin, TX 78704",Austin,78704,(512) 386-0900,,Coffee Shop,cafe,manual_database,cosmic-coffee-beer-garden
Mozart's Coffee Roasters,"3825 Lake Austin Blvd, Austin, TX 78703",Austin,78703,(512) 477-2900,,Coffee Shop,cafe,manual_database,mozart-s-coffee-roasters
The Austin Beer Garden Brewing Company,"1305 W Oltorf St, Austin, TX 78704",Austin,78704,(512) 300-2337,,Brewery,brewery,manual_database,the-austin-beer-garden-brewing-company
Pinthouse Pizza,"Multiple Locations, Austin, TX",Austin,78757,(512) 436-9605,,Brewery & Pizza,brewery,manual_database,pinthouse-pizza
Jester King Brewery,"13005 Fitzhugh Rd, Austin, TX 78736",Austin,78736,(512) 537-5100,,Brewery,brewery,manual_database,jester-king-brewery
Oddwood Brewing,"7601 Springdale Rd, Austin, TX 78724",Austin,78724,(512) 220-7722,,Brewery,brewery,manual_database,oddwood-brewing
Live Oak Brewing Company,"1615 Crozier Ln, Austin, TX 78741",Austin,78741,(512) 385-2299,,Brewery,brewery,manual_database,live-oak-brewing-company
Independence Brewing Company,"3913 Todd Ln #607, Austin, TX 78744",Austin,78744,(512) 707-0099,,Brewery,brewery,manual_database,independence-brewing-company
Blue Corn Harvest Bar & Grill,"700 E Whitestone Blvd #204, Cedar Park, TX 78613",Cedar Park,78613,(512) 528-0889,,American,restaurant,manual_database; real_businesses,blue-corn-harvest-bar-grill
Red Horn Coffee House,"600 E Whitestone Blvd, Cedar Park, TX 78613",Cedar Park,78613,(512) 259-5005,,Coffee Shop,cafe,manual_database,red-horn-coffee-house
Black Sugar Caffe,"1700 E Whitestone Blvd #170, Cedar Park, TX 78613",Cedar Park,78613,(512) 986-4020,,Coffee Shop,cafe,manual_database,black-sugar-caffe
La Dosis Coffee + Cocktails,"601 E Whitestone Blvd, Cedar Park, TX 78613",Cedar Park,78613,(512) 259-3333,,Coffee Shop,cafe,manual_database,la-dosis-coffee-cocktails
1431 Cafe,"601 E Whitestone Blvd, Suite 300, Cedar Park, TX 78613",Cedar Park,78613,(512) 528-0606,,Coffee Shop,cafe,manual_database,1431-cafe
Cedar Park Barbershop,"401 Cypress Creek Road, Suite 300, Cedar Park, TX 78613",Cedar Park,78613,(512) 260-5599,,Barbershop,salon,manual_database,cedar-park-barbershop
