Name,Address,City,Zip,Phone,Website,Category,Industry,Employees,Founded Year,Stock Ticker,CEO,Description
"Whole Foods Market Inc.","550 Bowie St.","Austin","78703","512-476-1206","wholefoodsmarket.com","Public Company","Food & Beverage","3000","1980","(Nasdaq: WFMI)","John  Mackey,  CEO","Retail grocery of natural and organic foods; operates 431 stores:U.S. (412), Canada (10), U.K.(9)"
"National Instruments Corp.","11500 N. MoPac Expy.","Austin","78759","512-683-0100","ni.com","Public Company","Other","2500","1976","(Nasdaq: NATI)","Alex  Davern,  President/CEO","Designs, manufactures and sells tools to engineers and scientists, equipping them with systems that accelerate productivity, innovation and discovery"
"Cirrus Logic Inc.","800 W. Sixth St.","Austin","78701","512-851-4000","cirrus.com","Public Company","Energy","740","1984","(Nasdaq: CRUS)","Jason  Rhode,  President/CEO","Semiconductor developing high-precision, analog and mixed-signal integrated circuits for audio and energy applications"
"American Campus Communities Inc.","12700 Hill Country Blvd.","Austin","78738","512-732-1000","AmericanCampus.com","Public Company","Real Estate","375","1993","(NYSE: ACC)","William  Bayless,  President/CEO","Real estate investment trust (REIT) owns manages and develops high quality student housing properties"
"EZCorp Inc.","2500 Bee Cave Rd. Bldg. 1-200","Austin","78746","512-314-3400","ezcorp.com","Public Company","Other","240","1989","(Nasdaq: EZPW)","Stuart  Grimshaw,  CEO","Provides pawn loans and consumer loans in the U.S,, Mexico and Canada"
"Silicon Laboratories Inc.","400 W. Cesar Chavez St.","Austin","78701","512-416-8500","silabs.com","Public Company","Technology","650","1996","(Nasdaq: SLAB)","Tyson  Tuttle,  CEO","Designs mixed-signal integrated circuits and provides semiconductor and software products for the Internet of Things market"
"National Western Life Group Inc.","850 E. Anderson Ln.","Austin","78752","512-836-1010","nationalwesternlife.com","Public Company","Financial Services","270","1963","(Nasdaq: NWLI)","Ross  Moody,  CEO/President","Life insurance company"
"Parsley Energy LLC","303 Colorado St.","Austin","78701","512-505-5131","parsleyenergy.com","Public Company","Energy","0","2008","(NYSE: PE)","Bryan  Sheffield,  President/CEO","Indep. oil & gas exploration and production company focused on the acquisition, development and exploitation of unconventional reserves in the Permian Basin"
"Chuy's Holdings Inc.","1623 Toomey Rd.","Austin","78704","512-473-2783","chuys.com","Public Company","Food & Beverage","893","1982","(Nasdaq: CHUY)","Steven  Hislop,  President/CEO","Full-service Tex Mex restaurant concept"
"Thermon Group Holdings Inc.","100 Thermon Dr.","San Marcos","78666","512-396-5801","thermon.com","Public Company","Other","450","1954","(NYSE: THR)","Bruce  Thames,  President/CEO","Provider of highly engineered thermal solutions for process industries"
