Name,Address,City,Zip,Phone,Email,Website,Category,Industry,Rating,Reviews,Source
"1886 Cafe & Bakery - Driskill Hotel","","Austin","","(512) 391-7066","driskillinfo@destinationhotels.com","http://www.opentable.com/1886-cafe-and-bakery-driskill-hotel?scpref=110","Restaurant","Food & Beverage","3.8","5","OpenTable (GitHub)"
"ALC Steaks (Austin Land & Cattle)","","Austin","","(512) 472-1813","steaks@austin.rr.com","http://www.opentable.com/alc-steaks-austin-land-and-cattle?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"Andiamo Ristorante","","Austin","","(512) 719-3377","","http://www.opentable.com/andiamo-ristorante?scpref=110","Restaurant","Food & Beverage","4.4","3","OpenTable (GitHub)"
"ASTI Trattoria","","Austin","","(512) 451-1218","astiaustin@gmail.com","http://www.opentable.com/asti-trattoria?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"August E's","","Austin","","(830) 997-1585","info@august-es.com","http://www.opentable.com/august-es?scpref=110","Restaurant","Food & Beverage","4.3","0","OpenTable (GitHub)"
"Bar Mirabeau","","Austin","","(512) 436-9633","info@barmirabeau.com","http://www.opentable.com/bar-mirabeau?scpref=110","Restaurant","Food & Beverage","3.4","6","OpenTable (GitHub)"
"Bess Bistro","","Austin","","(512) 477-2377","johnw@bessbistro.com","http://www.opentable.com/bess?scpref=110","Restaurant","Food & Beverage","4.1","10","OpenTable (GitHub)"
"Bob's Steak and Chop House - Austin","","Austin","","(512) 222-2627","k.johnson@bobs-steakandchop.com","http://www.opentable.com/bobs-steak-and-chop-house-austin?scpref=110","Restaurant","Food & Beverage","4.2","9","OpenTable (GitHub)"
"Botticelli's","","Austin","","(512) 916-1315","botticellissouthcongress@yahoo.com","http://www.opentable.com/botticellis?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"Buca di Beppo - Austin","","Austin","","(512) 342-8462","austin@bucadibeppo.com","http://www.opentable.com/buca-di-beppo-austin?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
